NTA Code,NTA Name,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,latitude,longitude,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid,SCHOOL NAME,DBN,School Name,Year,Total Enrollment,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
BX01,Claremont-Bathgate,0101000020E61000002945F74CC67952C008BD2895BE6A4440,0101000020110F0000B9475D85FF615FC1637C51B2F9065341,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,1363,FULTON AVENUE,1363 FULTON AVENUE,BRONX,10456.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,422.0,seats,BRONX,2009617.0,2029250056.0,40.8339494047,-73.9027297342,1011166.98305,243122.498953,203.0,BX01,BX0302,16.0,14701.0,14701.0,2.0,9.0,42.0,doe_lcgms,4bc5ab49284a143a58e91c285cd805db,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,2016.0,438.0,136.0,115.0,94.0,93.0,218.0,0.498,220.0,0.502,7.0,0.016,190.0,0.434,233.0,0.532,5.0,0.011,3.0,0.007,101.0,0.231,45.0,0.103,394,0.9,0.805
BX01,Claremont-Bathgate,0101000020E610000062AC673CB87952C039D0B62C736B4440,0101000020110F0000FC0673A1E7615FC1BC99E26BC4075341,MOTT HALL BRONX HIGH SCHOOL,1595,BATHGATE AVENUE,1595 BATHGATE AVENUE,BRONX,10457.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,354.0,seats,BRONX,2009555.0,2029130001.0,40.8394606369,-73.9018712933,1011402.28449,245130.709346,203.0,BX01,BX0302,16.0,16700.0,16700.0,2.0,9.0,42.0,doe_lcgms,a8ded5a41e46e1b4728ee5bf0bb2007c,MOTT HALL BRONX HIGH SCHOOL,09X252,MOTT HALL BRONX HIGH SCHOOL,2016.0,403.0,96.0,98.0,114.0,95.0,194.0,0.481,209.0,0.519,3.0,0.007,82.0,0.203,305.0,0.757,9.0,0.022,4.0,0.01,96.0,0.238,45.0,0.112,366,0.9079999999999999,0.841
BX01,Claremont-Bathgate,0101000020E61000002945F74CC67952C008BD2895BE6A4440,0101000020110F0000B9475D85FF615FC1637C51B2F9065341,BRONX CENTER FOR SCIENCE AND MATHEMATICS,1363,FULTON AVENUE,1363 FULTON AVENUE,BRONX,10456.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,436.0,seats,BRONX,2009617.0,2029250056.0,40.8339494047,-73.9027297342,1011166.98305,243122.498953,203.0,BX01,BX0302,16.0,14701.0,14701.0,2.0,9.0,42.0,doe_lcgms,a8adf813049a3d1ae6c6ace68603d493,BRONX CENTER FOR SCIENCE AND MATHEMATICS,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2016.0,460.0,129.0,114.0,114.0,103.0,246.0,0.535,214.0,0.465,37.0,0.08,118.0,0.257,293.0,0.637,5.0,0.011,7.0,0.015,92.0,0.2,18.0,0.039,412,0.8959999999999999,0.787
BX01,Claremont-Bathgate,0101000020E6100000FC9F9F45DA7952C0100A4068B66A4440,0101000020110F00005954BA7121625FC18A9F0285F0065341,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,3630,THIRD AVENUE,3630 THIRD AVENUE,BRONX,10456.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,540.0,seats,BRONX,2009611.0,2029250001.0,40.8336999102,-73.9039486866,1010829.76987,243031.226734,203.0,BX01,BX0302,16.0,14701.0,14701.0,2.0,9.0,42.0,doe_lcgms,fdd387f4f9479ab432fb6fe860ec2510,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,2016.0,420.0,135.0,122.0,97.0,66.0,191.0,0.455,229.0,0.545,2.0,0.005,187.0,0.445,216.0,0.514,5.0,0.012,10.0,0.024,87.0,0.207,52.0,0.124,359,0.855,0.8909999999999999
BX01,Claremont-Bathgate,0101000020E610000083057B7BC97952C01C3C5D15F06B4440,0101000020110F00003A44E6EC04625FC1AD9A07A650085341,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,1710,WEBSTER AVENUE,1710 WEBSTER AVENUE,BRONX,10457.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,570.0,seats,BRONX,2094564.0,2028980001.0,40.8432725514,-73.9029239299,1011109.48019,246519.207167,203.0,BX01,BX0302,15.0,16500.0,16500.0,2.0,9.0,42.0,doe_lcgms,efc204fc5c56d0ef0a27817202b2f460,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2016.0,680.0,146.0,166.0,172.0,196.0,330.0,0.485,350.0,0.515,3.0,0.004,212.0,0.312,446.0,0.656,12.0,0.018,7.0,0.01,186.0,0.274,80.0,0.118,597,0.878,0.841
BX03,Eastchester-Edenwald-Baychester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BX05,Bedford Park-Fordham North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BX06,Belmont,0101000020E6100000087276C9DE7852C0517ECF48046E4440,0101000020110F000081D08B4576605FC18470FF34A60A5341,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),500,EAST FORDHAM ROAD,500 EAST FORDHAM ROAD,BRONX,10458.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,490.0,seats,BRONX,2011810.0,2030590001.0,40.8595140388,-73.8885992575,1015065.37299,252441.311191,206.0,BX06,BX0603,15.0,38700.0,38700.0,2.0,10.0,48.0,doe_lcgms,76113eddd5934acd331c9aeb74ca9890,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,2016.0,499.0,138.0,123.0,110.0,128.0,280.0,0.561,219.0,0.439,13.0,0.026,152.0,0.305,310.0,0.621,11.0,0.022,13.0,0.026,126.0,0.253,55.0,0.11,431,0.8640000000000001,0.7609999999999999
BX06,Belmont,0101000020E6100000087276C9DE7852C0517ECF48046E4440,0101000020110F000081D08B4576605FC18470FF34A60A5341,BELMONT PREPARATORY HIGH SCHOOL,500,EAST FORDHAM ROAD,500 EAST FORDHAM ROAD,BRONX,10458.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,428.0,seats,BRONX,2011810.0,2030590001.0,40.8595140388,-73.8885992575,1015065.37299,252441.311191,206.0,BX06,BX0603,15.0,38700.0,38700.0,2.0,10.0,48.0,doe_lcgms,17713255cccc2d4de6100b92073243e0,BELMONT PREPARATORY HIGH SCHOOL,10X434,BELMONT PREPARATORY HIGH SCHOOL,2016.0,423.0,120.0,127.0,97.0,79.0,230.0,0.544,193.0,0.456,10.0,0.024,130.0,0.307,275.0,0.65,2.0,0.005,6.0,0.014,79.0,0.187,29.0,0.069,372,0.879,0.742
BX06,Belmont,0101000020E6100000087276C9DE7852C0517ECF48046E4440,0101000020110F000081D08B4576605FC18470FF34A60A5341,FORDHAM HIGH SCHOOL FOR THE ARTS,500,EAST FORDHAM ROAD,500 EAST FORDHAM ROAD,BRONX,10458.0,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,608.0,seats,BRONX,2011810.0,2030590001.0,40.8595140388,-73.8885992575,1015065.37299,252441.311191,206.0,BX06,BX0603,15.0,38700.0,38700.0,2.0,10.0,48.0,doe_lcgms,9c2944b37eead059c0cd45fa81d91871,FORDHAM HIGH SCHOOL FOR THE ARTS,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2016.0,379.0,96.0,107.0,110.0,66.0,268.0,0.707,111.0,0.293,5.0,0.013,127.0,0.335,233.0,0.615,6.0,0.016,8.0,0.021,74.0,0.195,5.0,0.013,336,0.887,0.736
