School Name,School Type,Regents Exam_math,Mean Score_math,Regents Exam_english,Mean Score_english,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score,Total Score,Performance Above/Below Average (%),% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,General Academic,Common Core Algebra,0.047463930002863294,English,-0.4666352272494726,40.71233,-73.9848,437.0,355.0,352.0,3.3%,25.0%,41.1%,29.9%,-0.8051545568271676,3.791889145926223,-24.0,0.198,0.137,88.3%,76.6%
MARTA VALLE HIGH SCHOOL,General Academic,Common Core Algebra,0.17102082715317177,English,-0.0705949791785036,40.72057,-73.98567,438.0,413.0,394.0,2.5%,39.9%,51.2%,5.8%,-0.1950081537122803,4.921632694262388,-2.0,0.279,0.081,90.1%,78.9%
FOOD AND FINANCE HIGH SCHOOL,Career Technical,Common Core Algebra,0.10924237857801752,English,0.061418436845152725,40.76503,-73.99252,428.0,435.0,421.0,3.0%,39.6%,52.2%,4.7%,0.040592932639012834,5.227468748062183,4.0,0.163,0.029,84.1%,70.0%
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,General Academic,Common Core Algebra,0.5725807428916759,English,0.061418436845152725,40.76503,-73.99252,451.0,433.0,424.0,1.7%,21.0%,71.2%,5.0%,0.18557821654750092,5.835792396284329,16.0,0.194,0.085,90.3%,73.4%
PACE HIGH SCHOOL,General Academic,Common Core Algebra,0.5571361307478881,English,1.0647203986249418,40.71641,-73.99268,430.0,435.0,427.0,1.9%,28.1%,45.4%,13.7%,0.08892136060850886,6.7269928899813385,34.0,0.159,0.017,80.1%,67.6%
LOWER MANHATTAN ARTS ACADEMY,General Academic,Common Core Algebra,0.15557621500938293,English,0.7214855169634343,40.71687,-73.98953,418.0,428.0,415.0,3.1%,28.2%,56.9%,8.6%,-0.09835129777328824,5.794925434199529,16.0,0.314,0.04,60.1%,68.7%
GRAMERCY ARTS HIGH SCHOOL,General Academic,Common Core Algebra,0.402690009310001,English,0.2858412440853689,40.73552,-73.9876,446.0,459.0,455.0,5.8%,42.5%,44.2%,3.6%,0.4997129983492251,6.204459251744595,24.0,0.182,0.021,74.2%,65.5%
NYC ISCHOOL,General Academic,Common Core Algebra,1.4992574715189928,English,1.5135660131053723,40.72435,-74.00476,518.0,515.0,503.0,28.7%,19.9%,39.8%,8.6%,1.5629384136781377,9.591976898302502,91.0,0.149,0.004,42.5%,41.0%
MANHATTAN BUSINESS ACADEMY,General Academic,Common Core Algebra,-0.10698219143502284,English,0.24623721927827233,40.74289,-74.00213,410.0,407.0,399.0,3.9%,28.1%,62.1%,3.4%,-0.3701987051017034,4.785271322741546,-5.0,0.18,0.052,82.5%,68.2%
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,General Academic,Common Core Algebra,0.06290854214665213,English,0.2594385608806372,40.76776,-73.98751,469.0,454.0,444.0,6.6%,14.7%,62.9%,15.1%,0.5420003728225341,5.880562475849823,17.0,0.17,0.082,76.3%,69.6%
BARUCH COLLEGE CAMPUS HIGH SCHOOL,General Academic,Common Core Algebra,2.1788204058456926,English,1.6983847955384919,40.74405,-73.99148,592.0,526.0,531.0,22.8%,6.2%,14.9%,54.8%,2.245577458747269,11.138997660131453,122.0,0.135,0.002,50.8%,41.5%
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,General Academic,Common Core Algebra,-0.5703205557486812,English,-0.01778961276904032,40.70915,-74.01208,390.0,396.0,392.0,4.4%,27.9%,61.9%,3.9%,-0.5997587379568096,3.828346093525469,-24.0,0.194,0.066,74.6%,74.9%
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,General Academic,Common Core Algebra,-0.5239867193173159,English,-0.49303791045420237,40.74289,-74.00213,378.0,407.0,388.0,3.3%,29.2%,59.4%,6.4%,-0.6299640054377446,3.369226364790737,-33.0,0.22,0.092,82.8%,74.5%
MANHATTAN VILLAGE ACADEMY,General Academic,Common Core Algebra,2.3796003637149443,English,2.9129082229561303,40.74149,-73.99145,522.0,479.0,510.0,7.2%,9.6%,67.2%,7.2%,1.4119120762734625,11.720635662944536,134.0,0.141,0.011,73.9%,60.7%
STUYVESANT HIGH SCHOOL,General Academic,Common Core Algebra,3.4452786016363572,English,2.648881390908818,40.71775,-74.01405,754.0,697.0,693.0,20.4%,0.8%,2.6%,73.4%,5.235898939359836,16.34627393190501,226.0,0.005,0.0,43.1%,32.0%
HIGH SCHOOL OF ECONOMICS AND FINANCE,General Academic,Common Core Algebra,0.6806930278981966,English,1.0911230818296735,40.70922,-74.01203,469.0,442.0,447.0,7.2%,22.9%,47.1%,21.7%,0.48763089135685106,7.275662001084721,45.0,0.183,0.051,77.0%,65.0%
UNITY CENTER FOR URBAN TECHNOLOGIES,General Academic,Common Core Algebra,-0.4004298221670063,English,0.4442573433137568,40.74611,-73.98101,375.0,385.0,387.0,4.9%,27.5%,58.8%,6.0%,-0.7870313963386066,4.273011124808144,-15.0,0.252,0.076,88.0%,77.7%
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,Career Technical,Common Core Algebra,0.0937977664342287,English,0.15382782806171252,40.76336,-73.99051,445.0,432.0,415.0,5.7%,30.3%,53.8%,7.8%,0.08892136060850886,5.35276195510445,7.0,0.182,0.03,71.6%,63.0%
TALENT UNLIMITED HIGH SCHOOL,General Academic,Common Core Algebra,1.3448113500811065,English,1.5267673547077392,40.76545,-73.96021,485.0,498.0,496.0,20.4%,33.4%,39.9%,4.9%,1.2185983643954785,9.106392069184324,82.0,0.11,0.002,54.2%,45.1%
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,General Academic,Common Core Algebra,-1.2807727143629577,English,-0.8890781585251714,40.71068,-74.00081,418.0,415.0,398.0,3.0%,46.1%,40.7%,8.9%,-0.27958290265889835,2.5667812244529724,-49.0,0.234,0.109,72.4%,72.5%
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,General Academic,Common Core Algebra,0.15557621500938293,English,-0.004588271166675439,40.75776,-73.98319,418.0,422.0,415.0,3.6%,21.3%,70.1%,4.0%,-0.13459761875041026,5.032605325092297,0.0,0.171,0.072,75.7%,73.9%
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,General Academic,Common Core Algebra,0.4181346214537898,English,0.7610895417705328,40.75594,-73.98457,425.0,451.0,458.0,8.5%,37.4%,50.4%,1.6%,0.342645607448363,6.538084770672685,30.0,0.15,0.016,75.3%,60.7%
NEW DESIGN HIGH SCHOOL,General Academic,Common Core Algebra,-0.58576516789247,English,0.8006935665776292,40.71687,-73.98953,381.0,396.0,372.0,3.9%,30.8%,56.9%,5.9%,-0.7749492893462326,4.456194109338926,-11.0,0.241,0.06,68.2%,75.5%
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,General Academic,Common Core Algebra,2.240598854420846,English,1.4343579634911792,40.71687,-73.98953,613.0,453.0,463.0,1.7%,3.1%,5.5%,88.9%,1.5206510392048287,10.211822857116854,104.0,0.021,0.098,88.8%,72.4%
