School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested,Average Score
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,NY,10002,40.71873,-73.97943,212-677-5190,8:15 AM,4:00 PM,1735.0,28.6,13.3,18.0,38.5,657.0,601.0,601.0,91.0%,1859
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4773,8:00 AM,2:45 PM,358.0,11.7,38.5,41.3,5.9,395.0,411.0,387.0,78.9%,1193
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0143,8:30 AM,3:00 PM,383.0,3.1,28.2,56.9,8.6,418.0,428.0,415.0,65.1%,1261
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4097,8:00 AM,3:35 PM,416.0,1.7,3.1,5.5,88.9,613.0,453.0,463.0,95.9%,1529
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,NY,10002,40.71376,-73.98526,212-406-9411,8:30 AM,3:30 PM,255.0,3.9,24.4,56.6,13.2,410.0,406.0,381.0,59.7%,1197
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,NY,10002,40.71896,-73.97607,212-995-8479,9:00 AM,3:50 PM,545.0,45.3,17.2,18.7,17.1,634.0,641.0,639.0,70.8%,1914
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0745,8:32 AM,3:45 PM,329.0,2.7,41.9,49.2,5.8,389.0,395.0,381.0,80.8%,1165
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,NY,10002,40.72057,-73.98567,212-473-8152,8:00 AM,3:30 PM,363.0,2.5,39.9,51.2,5.8,438.0,413.0,394.0,35.6%,1245
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,NY,10002,40.71233,-73.9848,212-962-4341,8:15 AM,3:15 PM,304.0,3.3,25.0,41.1,29.9,437.0,355.0,352.0,69.9%,1144
02M543,New Design High School,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4148,8:40 AM,2:56 PM,441.0,3.9,30.8,56.9,5.9,381.0,396.0,372.0,73.7%,1149
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,NY,10002,40.71641,-73.99268,212-334-4663,9:00 AM,3:15 PM,423.0,1.9,28.1,45.4,13.7,430.0,435.0,427.0,87.8%,1292
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-780-9175,9:00 AM,3:45 PM,1664.0,7.3,18.9,50.9,22.4,452.0,445.0,430.0,86.9%,1327
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-2480,8:00 AM,3:30 PM,437.0,5.7,20.4,40.3,31.1,446.0,433.0,411.0,70.2%,1290
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-533-2560,8:45 AM,3:05 PM,353.0,9.9,14.2,45.3,30.6,403.0,330.0,316.0,53.2%,1049
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-475-7972,8:00 AM,3:00 PM,482.0,56.5,14.1,14.9,5.8,501.0,550.0,541.0,78.6%,1592
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-7076,8:15 AM,3:30 PM,530.0,5.8,42.5,44.2,3.6,446.0,459.0,455.0,79.6%,1360
02M551,Urban Assembly New York Harbor School,Manhattan,M877,550 Wheeler Avenue,Manhattan,NY,10004,40.69079,-74.01976,212-458-0800,8:15 AM,4:00 PM,447.0,18.8,23.7,51.7,2.9,446.0,453.0,428.0,78.8%,1327
02M580,Richard R. Green High School of Teaching,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,646-826-8174,8:30 AM,3:20 PM,566.0,2.7,31.1,58.8,6.2,411.0,415.0,409.0,60.0%,1235
02M418,Millennium High School,Manhattan,M824,75 Broad Street,Manhattan,NY,10004,40.70492,-74.01151,212-825-9008,8:30 AM,3:00 PM,659.0,32.8,7.6,18.2,38.4,577.0,560.0,567.0,94.0%,1704
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,212-668-0169,8:35 AM,3:30 PM,405.0,2.2,52.8,39.3,3.5,418.0,420.0,417.0,75.0%,1255
02M489,High School of Economics and Finance,Manhattan,M833,100 Trinity Place,Manhattan,NY,10006,40.70922,-74.01203,212-346-0708,8:30 AM,3:30 PM,796.0,7.2,22.9,47.1,21.7,469.0,442.0,447.0,66.8%,1358
02M425,Leadership and Public Service High School,Manhattan,M894,90 Trinity Place,Manhattan,NY,10006,40.70915,-74.01208,212-346-0007,8:30 AM,2:45 PM,699.0,4.4,27.9,61.9,3.9,390.0,396.0,392.0,54.9%,1178
01M450,East Side Community School,Manhattan,M060,420 East 12th Street,Manhattan,NY,10009,40.72978,-73.98304,212-460-8467,8:30 AM,3:30 PM,666.0,8.3,22.1,57.9,9.4,454.0,428.0,445.0,85.2%,1327
02M411,Baruch College Campus High School,Manhattan,M874,55 East 25th Street,Manhattan,NY,10010,40.74405,-73.99148,212-683-7440,8:20 AM,2:50 PM,451.0,22.8,6.2,14.9,54.8,592.0,526.0,531.0,94.3%,1649
02M413,School of the Future High School,Manhattan,M660,127 East 22nd Street,Manhattan,NY,10010,40.73895,-73.98541,212-475-8086,8:35 AM,3:10 PM,713.0,35.9,11.7,30.4,14.4,534.0,533.0,522.0,89.9%,1589
02M439,Manhattan Village Academy,Manhattan,M873,43 West 22nd Street,Manhattan,NY,10010,40.74149,-73.99145,212-242-8752,8:00 AM,3:20 PM,415.0,7.2,9.6,67.2,7.2,522.0,479.0,510.0,98.8%,1511
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-691-6119,8:00 AM,2:50 PM,587.0,46.0,6.0,15.5,27.6,595.0,550.0,555.0,79.8%,1700
02M437,Hudson High School of Learning Technologies,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-488-3330,8:45 AM,3:30 PM,483.0,3.3,29.2,59.4,6.4,378.0,407.0,388.0,71.8%,1173
02M392,Manhattan Business Academy,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-1983,8:30 AM,3:15 PM,438.0,3.9,28.1,62.1,3.4,410.0,407.0,399.0,69.7%,1216
02M419,Landmark High School,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-7410,8:45 AM,3:20 PM,355.0,1.7,24.2,68.5,3.7,386.0,386.0,386.0,30.6%,1158
02M600,High School of Fashion Industries,Manhattan,M600,225 West 24th Street,Manhattan,NY,10011,40.74511,-73.99591,212-255-1235,8:00 AM,3:45 PM,1770.0,3.8,36.3,53.8,5.0,433.0,442.0,427.0,80.6%,1302
02M414,NYC Museum School,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-675-6206,8:15 AM,2:45 PM,471.0,12.1,12.7,39.7,34.2,560.0,530.0,522.0,90.0%,1612
02M615,Chelsea Career and Technical Education High School,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,212-925-1080,8:30 AM,4:00 PM,439.0,3.2,28.9,57.4,8.2,439.0,418.0,400.0,80.4%,1257
02M376,NYC iSchool,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,917-237-7300,9:00 AM,4:00 PM,442.0,28.7,19.9,39.8,8.6,518.0,515.0,503.0,96.0%,1536
02M427,Manhattan Academy for Arts and Language,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0502,9:00 AM,3:40 PM,334.0,1.5,4.8,91.3,2.4,350.0,334.0,321.0,46.1%,1005
02M500,Unity Center for Urban Technologies,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0530,8:15 AM,4:00 PM,284.0,4.9,27.5,58.8,6.0,375.0,385.0,387.0,62.8%,1147
02M393,Business of Sports School,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-2183,8:50 AM,3:30 PM,449.0,1.6,35.4,59.5,2.2,395.0,386.0,371.0,67.5%,1152
02M303,Facing History School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-2680,8:35 AM,3:00 PM,406.0,2.2,27.3,67.5,1.7,366.0,356.0,371.0,57.3%,1093
02M296,High School of Hospitality Management,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-1819,9:00 AM,3:45 PM,424.0,1.7,21.0,71.2,5.0,451.0,433.0,424.0,56.2%,1308
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-0981,8:00 AM,3:15 PM,414.0,3.4,29.5,59.2,6.0,445.0,417.0,403.0,60.6%,1265
02M400,High School for Environmental Studies,Manhattan,M834,444 West 56th Street,Manhattan,NY,10019,40.76776,-73.98751,212-262-8113,8:15 AM,3:00 PM,1301.0,6.6,14.7,62.9,15.1,469.0,454.0,444.0,74.0%,1367
02M630,Art and Design High School,Manhattan,M488,231-249 East 56th Street,Manhattan,NY,10019,40.7654,-73.98177,212-752-4340,8:30 AM,4:00 PM,1476.0,10.8,24.1,54.7,8.5,455.0,475.0,458.0,70.1%,1388
02M542,Manhattan Bridges High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-5274,8:00 AM,3:45 PM,529.0,0.0,0.0,100.0,0.0,409.0,360.0,347.0,84.4%,1116
02M507,Urban Assembly Gateway School for Technology,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-1041,8:00 AM,3:30 PM,472.0,5.7,30.3,53.8,7.8,445.0,432.0,415.0,78.4%,1292
02M288,Food and Finance High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-2943,7:40 AM,2:30 PM,427.0,3.0,39.6,52.2,4.7,428.0,435.0,421.0,52.0%,1284
02M416,Eleanor Roosevelt High School,Manhattan,M855,411 East 76th Street,Manhattan,NY,10021,40.77012,-73.95338,212-772-1220,8:30 AM,3:30 PM,541.0,61.4,4.4,10.9,20.1,641.0,617.0,631.0,86.0%,1889
03M299,"High School for Arts, Imagination, and Inquiry",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-799-4064,8:45 AM,3:26 PM,447.0,0.9,38.5,58.8,0.4,375.0,389.0,380.0,58.8%,1144
03M307,Urban Assembly School for Media Studies,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1110,9:00 AM,3:15 PM,412.0,1.7,36.4,57.8,1.9,392.0,419.0,396.0,49.5%,1207
03M479,Beacon High School,Manhattan,M837,227-243 West 61st Street,Manhattan,NY,10023,40.77216,-73.9878,212-245-2807,8:00 AM,3:00 PM,1285.0,51.8,13.7,23.8,8.9,583.0,586.0,595.0,82.8%,1764
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,100 Amsterdam Avenue,Manhattan,NY,10023,40.77367,-73.98527,212-496-0700,8:00 AM,4:00 PM,2635.0,45.3,11.3,19.4,19.4,592.0,592.0,597.0,88.5%,1781
03M494,High School of Arts and Technology,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1198,8:00 AM,2:45 PM,594.0,2.9,32.5,59.3,3.9,421.0,428.0,406.0,44.4%,1255
03M541,Manhattan / Hunter Science High School,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1235,8:00 AM,2:30 PM,451.0,13.1,16.4,37.9,25.9,581.0,531.0,535.0,97.2%,1647
03M492,"High School for Law, Advocacy, and Community Justice",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1201,8:00 AM,2:45 PM,510.0,2.2,42.0,52.7,2.4,415.0,417.0,402.0,60.5%,1234
